  569 lateo           0.031% (76.5%) 
  570 legionarius     0.031% (76.5%) 
  571 statuo          0.031% (76.5%) 
  572 populo          0.031% (76.6%) 
  573 celer           0.031% (76.6%) 
  574 ripa            0.031% (76.6%) 
  575 ceter           0.031% (76.7%) 
  576 addo            0.031% (76.7%) 
  577 romanis         0.031% (76.7%) 
  578 equester        0.031% (76.8%) 
  579 diligo          0.030% (76.8%) 
  580 nosco           0.030% (76.8%) 
  581 saluto          0.030% (76.8%) 
  582 aequo           0.030% (76.9%) 
  583 repello         0.030% (76.9%) 
  584 oro             0.030% (76.9%) 
  585 perfero         0.030% (77.0%) 
  586 tribuo          0.030% (77.0%) 
  587 iniquus         0.030% (77.0%) 
  588 ostendo         0.030% (77.1%) 
  589 pedo            0.029% (77.1%) 
  590 suffero         0.029% (77.1%) 
  591 mereo           0.029% (77.1%) 
  592 oneraria        0.029% (77.2%) 
  593 maritimus       0.029% (77.2%) 
  594 ordino          0.029% (77.2%) 
  595 cedo            0.029% (77.3%) 
  596 afficio         0.029% (77.3%) 
  597 cottidianus     0.028% (77.3%) 
  598 veteranus       0.028% (77.3%) 
  599 quicumque       0.028% (77.4%) 
  600 mors            0.028% (77.4%) 
  601 expello         0.028% (77.4%) 
  602 ob              0.028% (77.5%) 
  603 publico         0.028% (77.5%) 
  604 deficio         0.028% (77.5%) 
  605 sex             0.028% (77.5%) 
  606 expugno         0.028% (77.6%) 
  607 quaero          0.028% (77.6%) 
  608 cassus          0.028% (77.6%) 
  609 permoveo        0.028% (77.7%) 
  610 italiam         0.028% (77.7%) 
  611 adulescens      0.028% (77.7%) 
  612 circos          0.028% (77.7%) 
  613 divido          0.027% (77.8%) 
  614 jumentum        0.027% (77.8%) 
  615 orior           0.027% (77.8%) 
  616 tam             0.027% (77.9%) 
  617 offertor        0.027% (77.9%) 
  618 semper          0.027% (77.9%) 
  619 fido            0.027% (77.9%) 
  620 dux             0.027% (78.0%) 
  621 regius          0.027% (78.0%) 
  622 averto          0.027% (78.0%) 
  623 morior          0.027% (78.0%) 
  624 hiberno         0.027% (78.1%) 
  625 vehemens        0.027% (78.1%) 
  626 iii             0.027% (78.1%) 
  627 perspicio       0.027% (78.2%) 
  628 interpono       0.027% (78.2%) 
  629 luceo           0.027% (78.2%) 
  630 desero          0.027% (78.2%) 
  631 curo            0.027% (78.3%) 
  632 campus          0.027% (78.3%) 
  633 despero         0.027% (78.3%) 
  634 crassus         0.027% (78.3%) 
  635 retineo         0.026% (78.4%) 
  636 xii             0.026% (78.4%) 
  637 amicus          0.026% (78.4%) 
  638 tento           0.026% (78.5%) 
  639 acer            0.026% (78.5%) 
  640 romano          0.026% (78.5%) 
  641 aetas           0.026% (78.5%) 
  642 maneo           0.026% (78.6%) 
  643 vix             0.026% (78.6%) 
  644 commodus        0.026% (78.6%) 
  645 perfugio        0.026% (78.6%) 
  646 cottidie        0.026% (78.7%) 
  647 nihilum         0.026% (78.7%) 
  648 desum           0.026% (78.7%) 
  649 pauci           0.026% (78.7%) 
  650 pereo           0.026% (78.8%) 
  651 incipio         0.026% (78.8%) 
  652 extro           0.026% (78.8%) 
  653 expono          0.026% (78.8%) 
  654 controversia    0.026% (78.9%) 
  655 commentarius    0.026% (78.9%) 
  656 libertas        0.026% (78.9%) 
  657 studeo          0.025% (78.9%) 
  658 inferus         0.025% (79.0%) 
  659 suscipio        0.025% (79.0%) 
  660 potior          0.025% (79.0%) 
  661 vetus           0.025% (79.0%) 
  662 sentio          0.025% (79.1%) 
  663 judicium        0.025% (79.1%) 
  664 initio          0.025% (79.1%) 
  665 permaneo        0.025% (79.1%) 
  666 legatio         0.025% (79.2%) 
  667 insidiae        0.025% (79.2%) 
  668 inimicus        0.025% (79.2%) 
  669 aequus          0.025% (79.2%) 
  670 fama            0.025% (79.3%) 
  671 attribuo        0.025% (79.3%) 
  672 commemoro       0.025% (79.3%) 
  673 quartum         0.025% (79.3%) 
  674 thos            0.025% (79.4%) 
  675 impetro         0.025% (79.4%) 
  676 varus           0.025% (79.4%) 
  677 pedes           0.025% (79.4%) 
  678 hiemo           0.025% (79.5%) 
  679 trans           0.025% (79.5%) 
  680 turma           0.025% (79.5%) 
